,label,color,shape,score,decision,comment
156,cycles crossing,yellow,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
157,cycles crossing,yellow,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
158,cycles crossing,yellow,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
159,cycles crossing,yellow,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
160,go left,blue,inverse triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
161,go left,blue,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
162,go left,blue,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
163,go left,blue,octagon,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
164,go left,blue,circle,0.0,False,"{""anomaly"": 0.0}<|eot_id|>"
165,go left,white,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
166,go left,white,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
167,go left,white,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
168,go left,white,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
169,go left,white,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
170,go left,red,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
171,go left,red,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
172,go left,red,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
173,go left,red,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
174,go left,red,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
175,go left,yellow,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
176,go left,yellow,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
177,go left,yellow,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
178,go left,yellow,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
179,go left,yellow,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
180,speed limit 120,blue,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
181,speed limit 120,blue,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
182,speed limit 120,blue,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
183,speed limit 120,blue,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
184,speed limit 120,blue,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
185,speed limit 120,white,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
186,speed limit 120,white,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
187,speed limit 120,white,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
188,speed limit 120,white,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
189,speed limit 120,white,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
190,speed limit 120,red,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
191,speed limit 120,red,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
192,speed limit 120,red,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
193,speed limit 120,red,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
194,speed limit 120,red,circle,0.0,False,"{""anomaly"": 0.0}<|eot_id|>"
195,speed limit 120,yellow,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
196,speed limit 120,yellow,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
197,speed limit 120,yellow,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
198,speed limit 120,yellow,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
199,speed limit 120,yellow,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
200,restriction ends,blue,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
201,restriction ends,blue,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
202,restriction ends,blue,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
203,restriction ends,blue,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
204,restriction ends,blue,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
205,restriction ends,white,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
206,restriction ends,white,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
207,restriction ends,white,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
208,restriction ends,white,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
209,restriction ends,white,circle,0.0,False,"{""anomaly"": 0.0}<|eot_id|>"
210,restriction ends,red,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
211,restriction ends,red,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
212,restriction ends,red,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
213,restriction ends,red,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
214,restriction ends,red,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
215,restriction ends,yellow,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
216,restriction ends,yellow,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
217,restriction ends,yellow,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
218,restriction ends,yellow,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
219,restriction ends,yellow,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
220,construction,blue,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
221,construction,blue,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
222,construction,blue,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
223,construction,blue,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
224,construction,blue,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
225,construction,white,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
226,construction,white,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
227,construction,white,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
228,construction,white,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
229,construction,white,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
230,construction,red,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
231,construction,red,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
232,construction,red,triangle,0.0,False,"{""anomaly"": 0.0}<|eot_id|>"
233,construction,red,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
234,construction,red,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
235,construction,yellow,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
236,construction,yellow,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
237,construction,yellow,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
238,construction,yellow,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
239,construction,yellow,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
240,go left or straight,blue,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
241,go left or straight,blue,square,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
242,go left or straight,blue,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
243,go left or straight,blue,octagon,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
244,go left or straight,blue,circle,0.0,False,"{""anomaly"": 0.0}<|eot_id|>"
245,go left or straight,white,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
246,go left or straight,white,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
247,go left or straight,white,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
248,go left or straight,white,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
249,go left or straight,white,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
250,go left or straight,red,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
251,go left or straight,red,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
252,go left or straight,red,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
253,go left or straight,red,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
254,go left or straight,red,circle,0.8,True,"{""anomaly"": 0.8}<|eot_id|>"
255,go left or straight,yellow,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
256,go left or straight,yellow,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
257,go left or straight,yellow,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
258,go left or straight,yellow,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
259,go left or straight,yellow,circle,0.8,True,"{""anomaly"": 0.8}<|eot_id|>"
260,road narrows,blue,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
261,road narrows,blue,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
262,road narrows,blue,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
263,road narrows,blue,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
264,road narrows,blue,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
265,road narrows,white,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
266,road narrows,white,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
267,road narrows,white,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
268,road narrows,white,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
269,road narrows,white,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
270,road narrows,red,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
271,road narrows,red,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
272,road narrows,red,triangle,0.0,False,"{""anomaly"": 0.0}<|eot_id|>"
273,road narrows,red,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
274,road narrows,red,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
275,road narrows,yellow,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
276,road narrows,yellow,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
277,road narrows,yellow,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
278,road narrows,yellow,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
279,road narrows,yellow,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
280,go right or straight,blue,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
281,go right or straight,blue,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
282,go right or straight,blue,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
283,go right or straight,blue,octagon,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
284,go right or straight,blue,circle,0.0,False,"{""anomaly"": 0.0}<|eot_id|>"
285,go right or straight,white,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
286,go right or straight,white,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
287,go right or straight,white,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
288,go right or straight,white,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
289,go right or straight,white,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
290,go right or straight,red,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
291,go right or straight,red,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
292,go right or straight,red,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
293,go right or straight,red,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
294,go right or straight,red,circle,0.8,True,"{""anomaly"": 0.8}<|eot_id|>"
295,go right or straight,yellow,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
296,go right or straight,yellow,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
297,go right or straight,yellow,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
298,go right or straight,yellow,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
299,go right or straight,yellow,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
300,traffic signal,blue,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
301,traffic signal,blue,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
302,traffic signal,blue,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
303,traffic signal,blue,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
304,traffic signal,blue,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
305,traffic signal,white,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
306,traffic signal,white,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
307,traffic signal,white,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
308,traffic signal,white,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
309,traffic signal,white,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
310,traffic signal,red,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
311,traffic signal,red,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
312,traffic signal,red,triangle,0.0,False,"{""anomaly"": 0.0}<|eot_id|>"
313,traffic signal,red,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
314,traffic signal,red,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
315,traffic signal,yellow,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
316,traffic signal,yellow,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
